pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10519,2742.97,2740.19,8,2742.52,Buy,0.5499999999997272,0.11999999999989086,-5.05
10520,2742.97,2740.49,8,2742.77,Buy,0.31999999999970896,0.5499999999997272,-5.31
10521,2743.37,2740.85,8,2743.47,Buy,0.6799999999998363,0.31999999999970896,-5.25
10522,2743.35,2741.13,7,2743.13,Buy,0.32999999999992724,0.6799999999998363,-5.17
10523,2744.76,2741.98,7,2744.84,Buy,0.16000000000030923,0.1799999999998363,-5.09
10524,2744.82,2741.98,7,2744.92,Buy,0.07000000000016371,0.16000000000030923,-5.09
10525,2744.81,2741.98,7,2744.43,Buy,0.17000000000007276,0.6700000000000728,-5.12
10526,2740.22,2737.5,7,2740.31,Buy,0.2199999999997999,0.900000000000091,5.45
10527,2740.22,2737.5,7,2740.16,Buy,0.15999999999985448,0.2199999999997999,5.6
10528,2740.28,2737.69,7,2740.38,Buy,0.17000000000007276,0.15999999999985448,5.38
10529,2742.53,2741.77,7,2742.62,Buy,0.0500000000001819,0.4800000000000182,-5.08
10530,2742.73,2741.77,7,2742.81,Buy,0.21000000000003638,0.0500000000001819,-5.27
10531,2742.87,2741.77,7,2742.97,Buy,0.15000000000009095,0.21000000000003638,-5.05
10532,2742.86,2741.77,7,2742.63,Buy,0.34999999999990905,0.15000000000009095,-5.11
10533,2741.91,2736.89,7,2742,Buy,0.569999999999709,0.3799999999996544,5.08
10534,2744.49,2742.09,7,2744.59,Buy,0.650000000000091,0.3100000000004002,5.08
10535,2747.81,2744.62,7,2747.91,Buy,0.5200000000004366,0.09999999999990905,-5.03
10536,2747.91,2744.88,7,2748.01,Buy,0.22000000000025466,0.21000000000003638,-5.44
10537,2748.23,2744.88,8,2748.32,Buy,0.3200000000001637,0.22000000000025466,-5.44
10538,2749.5,2745.44,8,2749.6,Buy,1.2200000000002547,0.3200000000001637,-5.31
10539,2749.64,2746.32,8,2749.74,Buy,0.13999999999987267,1.2200000000002547,-5.12
10540,2749.64,2747.06,7,2749.45,Buy,0.06999999999970896,0.13999999999987267,-5.16
10541,2749.64,2747.1,7,2749.47,Buy,0.05999999999994543,0.06999999999970896,-5.87
10542,2736.88,2733.18,7,2736.98,Buy,0.21000000000003638,0.5499999999997272,5.11
10543,2737.06,2733.18,8,2737.06,Buy,0.1799999999998363,0.21000000000003638,5.13
10544,2737.06,2733.18,7,2735.71,Buy,1.3200000000001637,0.1799999999998363,5.15
10545,2737.06,2733.18,7,2736,Buy,0.32999999999992724,1.3200000000001637,6.09
10546,2737.06,2733.18,8,2736.5,Buy,0.4800000000000182,0.32999999999992724,5.09
10547,2737.36,2733.68,8,2737.46,Buy,0.9600000000000364,0.4800000000000182,5.5
10548,2737.84,2735.33,8,2737.94,Buy,0.36999999999989086,0.9600000000000364,5.13
10549,2738.28,2735.61,8,2738.21,Buy,0.44000000000005457,0.36999999999989086,5.85
10550,2738.28,2735.61,8,2738.29,Buy,0.009999999999763531,0.44000000000005457,5.89
10551,2738.42,2735.61,8,2738.52,Buy,0.2199999999997999,0.009999999999763531,5.54
10552,2740,2735.61,8,2740.1,Buy,1.4800000000000182,0.2199999999997999,5.08
10553,2740.92,2735.61,9,2741.02,Buy,0.8600000000001273,1.4800000000000182,5.23
10554,2740.93,2735.9,8,2741.03,Buy,0.0500000000001819,0.8600000000001273,5.06
10555,2740.87,2736.4,7,2740.75,Buy,0.10999999999967258,0.0500000000001819,5.5
10556,2740.87,2737.36,7,2740.86,Buy,0.11000000000012733,0.10999999999967258,5.23
10557,2742.92,2740.29,7,2743.02,Buy,0.930000000000291,0.07000000000016371,-5.31
10558,2743.06,2740.29,8,2743.15,Buy,0.13999999999987267,0.930000000000291,-5.33
10559,2744.18,2740.34,8,2744.28,Buy,0.9899999999997817,0.13999999999987267,-5.76
